date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error,scheme,error_message
2025-07-01,2025-08-01,P,300.71,265.0,0.084931506849315,7.7,7.891906384506251,0.1919063845062512,0.03682806041426113,explicit,
2025-07-01,2025-08-01,P,300.71,265.0,0.084931506849315,7.7,7.894814788175356,0.19481478817535614,0.03795280169180888,explicit,
2025-07-01,2025-08-01,P,300.71,270.0,0.084931506849315,9.0,8.774710812983349,0.22528918701665113,0.050755217786623605,explicit,
2025-07-01,2025-08-01,P,300.71,270.0,0.084931506849315,9.0,8.77797347858823,0.22202652141177026,0.04929577621021128,explicit,
2025-07-01,2025-08-01,P,300.71,275.0,0.084931506849315,10.425,10.383616818491802,0.04138318150819842,0.0017125677117404957,explicit,
2025-07-01,2025-08-01,P,300.71,275.0,0.084931506849315,10.425,10.387321526359214,0.03767847364078669,0.0014196673758994575,explicit,
2025-07-01,2025-08-01,C,300.71,280.0,0.084931506849315,34.974999999999994,34.24098933271414,0.7340106672858511,0.5387716596894203,explicit,
2025-07-01,2025-08-01,C,300.71,280.0,0.084931506849315,34.974999999999994,34.23320286403757,0.7417971359624218,0.5502629909220517,explicit,
2025-07-01,2025-08-01,P,300.71,280.0,0.084931506849315,12.075,12.185547637555098,0.11054763755509889,0.01222078016901351,explicit,
2025-07-01,2025-08-01,P,300.71,280.0,0.084931506849315,12.075,12.189714491643409,0.11471449164340974,0.013159414593005923,explicit,
2025-07-01,2025-08-01,P,300.71,285.0,0.084931506849315,13.875,14.193083540493742,0.3180835404937419,0.10117713873303393,explicit,
2025-07-01,2025-08-01,P,300.71,285.0,0.084931506849315,13.875,14.19773419014361,0.3227341901436098,0.1041573574876517,explicit,
2025-07-01,2025-08-01,P,300.71,290.0,0.084931506849315,15.925,15.50061145920237,0.4243885407976311,0.1801056335603426,explicit,
2025-07-01,2025-08-01,P,300.71,290.0,0.084931506849315,15.925,15.5056742687924,0.41932573120759997,0.17583406885278838,explicit,
2025-07-01,2025-08-01,C,300.71,295.0,0.084931506849315,26.075,25.891514385439528,0.18348561456047108,0.033666970750633754,explicit,
2025-07-01,2025-08-01,C,300.71,295.0,0.084931506849315,26.075,25.88468176219919,0.1903182378008097,0.03622103163960555,explicit,
2025-07-01,2025-08-01,P,300.71,295.0,0.084931506849315,18.125,17.839547717827376,0.2854522821726242,0.08148300539755947,explicit,
2025-07-01,2025-08-01,P,300.71,295.0,0.084931506849315,18.125,17.845116550393218,0.2798834496067819,0.07833474536379202,explicit,
2025-07-01,2025-08-01,C,300.71,300.0,0.084931506849315,23.525,23.17077735997758,0.3542226400224173,0.12547367870445106,explicit,
2025-07-01,2025-08-01,C,300.71,300.0,0.084931506849315,23.525,23.164347935379904,0.36065206462009414,0.13006991171473656,explicit,
2025-07-01,2025-08-01,P,300.71,300.0,0.084931506849315,20.55,20.369715929072797,0.180284070927204,0.03250234623008512,explicit,
2025-07-01,2025-08-01,P,300.71,300.0,0.084931506849315,20.55,20.375795150388743,0.17420484961125737,0.0303473296280808,explicit,
2025-07-01,2025-08-01,C,300.71,305.0,0.084931506849315,21.125,20.599358967128534,0.5256410328714658,0.2762984954381814,explicit,
2025-07-01,2025-08-01,C,300.71,305.0,0.084931506849315,21.125,20.593447098995085,0.5315529010049147,0.28254848656674064,explicit,
2025-07-01,2025-08-01,P,300.71,305.0,0.084931506849315,23.175,23.663720754725922,0.4887207547259216,0.2388479760998744,explicit,
2025-07-01,2025-08-01,P,300.71,305.0,0.084931506849315,23.175,23.668346264518863,0.49334626451886265,0.2433905367147156,explicit,
2025-07-01,2025-08-01,C,300.71,310.0,0.084931506849315,18.975,18.425654850369504,0.5493451496304971,0.30178009342255324,explicit,
2025-07-01,2025-08-01,C,300.71,310.0,0.084931506849315,18.975,18.420135664642665,0.5548643353573368,0.30787443065153913,explicit,
2025-07-01,2025-08-01,P,300.71,310.0,0.084931506849315,25.975,25.839424953406798,0.1355750465932033,0.018380593258749245,explicit,
2025-07-01,2025-08-01,P,300.71,310.0,0.084931506849315,25.975,25.844331900691525,0.13066809930847612,0.017074152176889776,explicit,
2025-07-01,2025-08-01,C,300.71,315.0,0.084931506849315,16.975,16.730093828742973,0.2449061712570284,0.05997903271977693,explicit,
2025-07-01,2025-08-01,C,300.71,315.0,0.084931506849315,16.975,16.726798422006524,0.24820157799347697,0.061604023318452036,explicit,
