date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,scheme,lambda_jump,jump_mean,jump_std,abs_error,sq_error
2025-08-20,2025-10-17,P,6395.78,6025.0,0.1589041095890411,48.95,48.68566077277191,imex_euler,0.01,-0.005,0.03,0.264339227228092,0.06987522705154485
2025-08-20,2025-10-17,P,6395.78,6025.0,0.1589041095890411,48.95,48.8596105928179,imex_euler,0.01,-0.005,0.03,0.09038940718210142,0.008170244930731728
2025-08-20,2025-09-30,P,6395.78,5725.0,0.1123287671232876,13.85,13.320840634453162,imex_euler,0.01,-0.005,0.03,0.5291593655468372,0.2800096341459313
2025-08-20,2025-09-30,P,6395.78,5725.0,0.1123287671232876,13.85,13.361076486213907,imex_euler,0.01,-0.005,0.03,0.48892351378609256,0.23904620233293944
2025-08-20,2025-10-03,P,6395.78,5600.0,0.1205479452054794,12.35,11.726185910128988,imex_euler,0.01,-0.005,0.03,0.6238140898710114,0.38914401872159826
2025-08-20,2025-10-03,P,6395.78,5600.0,0.1205479452054794,12.35,11.760434427051566,imex_euler,0.01,-0.005,0.03,0.5895655729484339,0.34758756480601516
2025-08-20,2025-10-03,P,6395.78,5800.0,0.1205479452054794,19.75,18.294890116727395,imex_euler,0.01,-0.005,0.03,1.4551098832726055,2.1173447723976158
2025-08-20,2025-10-03,P,6395.78,5800.0,0.1205479452054794,19.75,18.354268510198803,imex_euler,0.01,-0.005,0.03,1.3957314898011965,1.9480663916226677
2025-08-20,2025-10-03,P,6395.78,6000.0,0.1205479452054794,33.6,32.641120236804596,imex_euler,0.01,-0.005,0.03,0.9588797631954051,0.9194504002656763
2025-08-20,2025-10-03,P,6395.78,6000.0,0.1205479452054794,33.6,32.74831873297941,imex_euler,0.01,-0.005,0.03,0.851681267020588,0.7253609805937941
2025-08-20,2025-10-03,P,6395.78,6200.0,0.1205479452054794,58.35,59.00122270109545,imex_euler,0.01,-0.005,0.03,0.651222701095449,0.4240910064220525
2025-08-20,2025-10-03,P,6395.78,6200.0,0.1205479452054794,58.35,59.20171666659356,imex_euler,0.01,-0.005,0.03,0.8517166665935605,0.7254212801532463
2025-08-20,2025-10-17,P,6395.78,4800.0,0.1589041095890411,6.4,6.436046673971509,imex_euler,0.01,-0.005,0.03,0.036046673971508625,0.0012993627044082373
2025-08-20,2025-10-17,P,6395.78,4800.0,0.1589041095890411,6.4,6.459143350904956,imex_euler,0.01,-0.005,0.03,0.05914335090495548,0.0034979359562666984
2025-08-18,2025-09-26,P,335.16,295.0,0.1068493150684931,4.75,4.645378745506791,imex_euler,0.01,-0.005,0.03,0.10462125449320858,0.010945606891732717
2025-08-18,2025-09-26,P,335.16,295.0,0.1068493150684931,4.75,4.652958605873023,imex_euler,0.01,-0.005,0.03,0.09704139412697721,0.009417032174107326
2025-08-19,2025-09-19,C,329.31,325.0,0.084931506849315,19.9,20.14282067835988,imex_euler,0.01,-0.005,0.03,0.2428206783598803,0.05896188183915244
2025-08-19,2025-09-19,C,329.31,325.0,0.084931506849315,19.9,20.129462851987775,imex_euler,0.01,-0.005,0.03,0.22946285198777616,0.05265320044236407
2025-08-19,2025-09-19,P,329.31,280.0,0.084931506849315,2.71,2.6242584640467674,imex_euler,0.01,-0.005,0.03,0.08574153595323253,0.007351610987619466
2025-08-19,2025-09-19,P,329.31,280.0,0.084931506849315,2.71,2.6282376884669127,imex_euler,0.01,-0.005,0.03,0.08176231153308722,0.006685075587233607
2025-08-19,2025-09-19,P,329.31,300.0,0.084931506849315,5.8,5.859816098965562,imex_euler,0.01,-0.005,0.03,0.0598160989655625,0.0035779656954579675
2025-08-19,2025-09-19,P,329.31,300.0,0.084931506849315,5.8,5.865308945424891,imex_euler,0.01,-0.005,0.03,0.06530894542489118,0.004265258352511415
2025-08-19,2025-09-19,P,329.31,310.0,0.084931506849315,8.45,8.611557200926683,imex_euler,0.01,-0.005,0.03,0.16155720092668346,0.026100729171264773
2025-08-19,2025-09-19,P,329.31,310.0,0.084931506849315,8.45,8.619221731746377,imex_euler,0.01,-0.005,0.03,0.16922173174637756,0.028635994495242966
2025-08-19,2025-09-19,P,329.31,315.0,0.084931506849315,10.15,9.861914934812997,imex_euler,0.01,-0.005,0.03,0.28808506518700305,0.0829930047837998
2025-08-19,2025-09-19,P,329.31,315.0,0.084931506849315,10.15,9.870469709510942,imex_euler,0.01,-0.005,0.03,0.279530290489058,0.07813718330089714
2025-08-19,2025-09-19,P,329.31,320.0,0.084931506849315,12.05,12.021734313835635,imex_euler,0.01,-0.005,0.03,0.028265686164365533,0.0007989490143424052
2025-08-19,2025-09-19,P,329.31,320.0,0.084931506849315,12.05,12.031577436696285,imex_euler,0.01,-0.005,0.03,0.018422563303715833,0.0003393908386794172
2025-08-20,2025-10-17,P,323.9,280.0,0.1589041095890411,7.475,7.694477230365694,imex_euler,0.01,-0.005,0.03,0.219477230365694,0.04817025464899591
2025-08-20,2025-10-17,P,323.9,280.0,0.1589041095890411,7.475,7.707235962389978,imex_euler,0.01,-0.005,0.03,0.23223596238997857,0.05393354222719954
2025-08-20,2025-10-17,P,323.9,320.0,0.1589041095890411,21.0,21.07116316925491,imex_euler,0.01,-0.005,0.03,0.07116316925490906,0.005064196658402835
2025-08-20,2025-10-17,P,323.9,320.0,0.1589041095890411,21.0,21.099407149143882,imex_euler,0.01,-0.005,0.03,0.09940714914388238,0.009881781300914076
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.4749999999999996,2.868800121681944,imex_euler,0.01,-0.005,0.03,0.3938001216819442,0.15507853583671408
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.4749999999999996,2.876487061099858,imex_euler,0.01,-0.005,0.03,0.40148706109985843,0.16119186023060145
